TEMPERATURA,PVC,EPR,XPLE,LOCAL
10,1.22,1.15,1.15,AMBIENTE
15,1.17,1.12,1.12,AMBIENTE
20,1.12,1.08,1.08,AMBIENTE
25,1.06,1.04,1.04,AMBIENTE
35,0.94,0.96,0.96,AMBIENTE
40,0.87,0.91,0.91,AMBIENTE
45,0.79,0.87,0.87,AMBIENTE
50,0.71,0.82,0.82,AMBIENTE
55,0.61,0.76,0.76,AMBIENTE
60,0.5,0.71,0.71,AMBIENTE
65,0,0.65,0.65,AMBIENTE
70,0,0.58,0.58,AMBIENTE
75,0,0.5,0.5,AMBIENTE
80,0,0.41,0.41,AMBIENTE
10,1.10,1.07,1.07,SOLO
15,1.05,1.04,1.04,SOLO
25,0.95,0.96,0.96,SOLO
30,0.89,0.93,0.93,SOLO
35,0.84,0.89,0.89,SOLO
40,0.77,0.85,0.85,SOLO
45,0.71,0.80,0.80,SOLO
50,0.63,0.76,0.76,SOLO
55,0.55,0.71,0.71,SOLO
60,0.45,0.65,0.65,SOLO
65,0,0.60,0.60,SOLO
70,0,0.53,0.53,SOLO
75,0,0.46,0.46,SOLO
80,0,0.38,0.38,SOLO
